Strategy,Environment,Agents,Trials,WarmUpEpisodesPerTrial,SuccessRate,SuccessRateStd,SuccessRateCI95Lower,SuccessRateCI95Upper,NormReturn,NormReturnStd,NormReturnCI95Lower,NormReturnCI95Upper,Makespan,MakespanStd,MakespanCI95Lower,MakespanCI95Upper,ActionEfficiency,ActionEfficiencyStd,ManagerUtil,ManagerUtilStd,DelegationSuccess,DelegationSuccessStd,MessagesPerEp,MessagesPerEpStd,BytesPerStep,BytesPerStepStd,CoordLatency,CoordLatencyStd
tree,task_distribution,3,5,1,1.0,0.0,1.0,1.0,0.89474,0.0014081903280452259,0.8935056667548834,0.8959743332451165,34.36,0.5856620185738517,33.84664460653462,34.87335539346538,13.744,0.23426480742954156,100.0,0.0,0.7777873036828488,0.036698322940837455,71.98,1.466969665671377,209.489081571119,2.503197116423423,2.9883926474896582e-05,2.743213475093617e-06
tree,task_distribution,5,5,1,1.0,0.0,1.0,1.0,0.9310999999999999,0.0009219544457292685,0.9302918712973789,0.931908128702621,22.919999999999998,0.6496152707564676,22.350587109383707,23.48941289061629,18.336000000000002,0.5196922166051754,100.0,0.0,0.803935307077491,0.052121372001002295,70.24,1.54531550176655,306.5622635750898,7.141889052262241,4.0458510278550233e-05,2.3990582713892387e-06
tree,task_distribution,8,5,1,1.0,0.0,1.0,1.0,0.94258,0.0005890670590009069,0.942063659957005,0.9430963400429949,14.82,0.9705668446840747,13.96926065096294,15.67073934903706,17.784,1.1646802136208898,200.0,0.0,0.7545867900964582,0.061240812774244945,72.06,2.375499947379497,487.10178030125047,16.944498854080585,4.571858450915679e-05,8.22535545473829e-07
tree,task_distribution,12,5,1,1.0,0.0,1.0,1.0,0.94282,0.0008642916174532579,0.9420624149948685,0.9435775850051314,14.32,1.6099689437998486,12.908800000000001,15.7312,22.912,2.575950310079757,400.0,0.0,0.7847944963519389,0.05863244628180319,71.17999999999999,2.503397691138985,500.3310998777883,36.99422575976822,4.862422715711852e-05,1.1593402006992591e-06
tree,resource_allocation,3,5,1,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,34.78,0.6833739825307973,34.180996293834504,35.3790037061655,13.911999999999999,0.2733495930123183,100.0,0.0,0.791434076302836,0.05319222784347793,71.53999999999999,1.8729655629509065,205.72124134991103,5.2294671602675935,3.273204480700707e-05,1.771300987645004e-06
tree,resource_allocation,5,5,1,0.78,0.130384048104053,0.6657133428610321,0.8942866571389679,0.5024,0.04170491577739969,0.4658440295437256,0.5389559704562743,22.952857142857145,0.7370584115528539,22.306796959902027,23.598917325812263,31.92,8.079207881964665,100.0,0.0,0.7764872060646708,0.0484769999165229,71.24,2.2120126581916293,191.3744582041431,63.50513951289794,4.8914793974739375e-05,4.114622998923626e-06
tree,resource_allocation,8,5,1,0.66,0.16733200530681513,0.5133270304384615,0.8066729695615386,0.5362,0.1202401763139093,0.4308048385171312,0.6415951614828689,14.711904761904762,1.5283171332014795,13.372275729506448,16.051533794303076,52.32,17.522260128191228,200.0,0.0,0.7656996703698677,0.05609053138777128,71.46,2.0719555979798416,176.33888918708857,48.14324022650841,5.722908767379889e-05,3.2219053827866296e-06
tree,resource_allocation,12,5,1,0.68,0.1788854381999832,0.5232,0.8368000000000001,0.5268,0.07291570475556002,0.4628865667953912,0.5907134332046089,13.408333333333333,0.7639898923124282,12.738666666666667,14.078,65.92,24.292352706150137,400.0,0.0,0.7816623114145328,0.052857728418917845,70.44,1.6226521500309317,186.95370105178367,55.31146225285555,6.301612847854153e-05,3.394050404996798e-06
tree,collaborative,3,5,1,1.0,0.0,1.0,1.0,10.328,0.2061810490806557,10.147274342164705,10.508725657835294,35.26,0.6730527468185524,34.67004325582294,35.84995674417706,14.104,0.26922109872742184,100.0,0.0,0.5991961641439298,0.03705466605942695,88.34,2.4058262613912906,250.51407915569766,2.740644901984358,0.00015020119054984826,1.5539563698013866e-05
tree,collaborative,5,5,1,0.8200000000000001,0.10954451150103323,0.7239800020828995,0.9160199979171006,15.261,5.329045001217385,10.589886103872011,19.932113896127987,23.987142857142857,1.0171194068324043,23.095598388257542,24.87868732602817,30.16,6.455013555369191,100.0,0.0,0.40172413793103445,0.04896909908387784,124.68,9.275613187277703,342.31341894119055,70.19169745026673,0.00038499672897979544,4.466210233783724e-05
tree,collaborative,8,5,1,0.62,0.130384048104053,0.5057133428610321,0.7342866571389679,24.235,7.735692438301823,17.454366615131,31.015633384869,19.509285714285713,3.8421398029361358,16.141501689143958,22.87706973942747,59.760000000000005,15.09330977618892,200.0,0.0,0.36691335183472096,0.06904402139979722,148.74,17.637119946295083,309.6678302981385,57.42817970203204,0.0005421740541094893,6.363760045830055e-05
tree,collaborative,12,5,1,0.9,0.07071067811865474,0.8380193578606998,0.9619806421393002,10.425,3.7561175101426207,7.132617839010788,13.717382160989214,21.27611111111111,1.2531805216141394,20.177649952023227,22.374572270198993,46.688,8.301055354591968,400.0,0.0,0.3878976371728163,0.022328047437251277,130.66,5.195959969052878,459.54203891327734,86.46762479762667,0.0005339943974568585,3.1592587636244594e-06
tree,fault_recovery,3,5,1,0.02,0.044721359549995794,-0.0192,0.0592,1.9589999999999999,1.5530872480321252,0.5976590046575398,3.32034099534246,6.6,14.758048651498612,-6.336,19.536,0.908,0.49570152309630844,1.38021436227224,0.9989336299066576,0.04231907567090697,0.028042819289065976,3.04,1.9346834366376324,3.1233011789924974,2.0862582695236784,3.320093150250614e-05,3.639186392117928e-06
